,Latitude,Lat,Longitude,Lon,Altitude,CommandTX
368,3511.760010,b'N',8607.299805,b'W',254.9,0
369,3511.760010,b'N',8607.298828,b'W',254.9,0
370,3511.760010,b'N',8607.298828,b'W',254.9,0
371,3511.760010,b'N',8607.298828,b'W',254.9,0
372,3511.760010,b'N',8607.298828,b'W',254.9,0
373,3511.760010,b'N',8607.298828,b'W',254.9,0
374,3511.760010,b'N',8607.298828,b'W',254.9,0
375,3511.760010,b'N',8607.298828,b'W',254.9,0
376,3511.760010,b'N',8607.299805,b'W',254.9,0
377,3511.760010,b'N',8607.298828,b'W',254.9,0
378,3511.760498,b'N',8607.298828,b'W',254.9,0
379,3511.760254,b'N',8607.298828,b'W',254.9,0
380,3511.760498,b'N',8607.298828,b'W',254.9,0
381,3511.760254,b'N',8607.298828,b'W',254.9,0
382,3511.760254,b'N',8607.298828,b'W',254.9,0
383,3511.760498,b'N',8607.298828,b'W',254.9,0
384,3511.760498,b'N',8607.298828,b'W',254.9,0
385,3511.760742,b'N',8607.298828,b'W',254.9,0
386,3511.760498,b'N',8607.298828,b'W',254.9,0
387,3511.760498,b'N',8607.298828,b'W',254.9,0
388,3511.760498,b'N',8607.298828,b'W',254.9,0
389,3511.760498,b'N',8607.298828,b'W',254.9,0
390,3511.760498,b'N',8607.299805,b'W',254.9,0
391,3511.760498,b'N',8607.299805,b'W',254.9,0
392,3511.760498,b'N',8607.299805,b'W',254.9,0
393,3511.760498,b'N',8607.299805,b'W',254.8,0
394,3511.760498,b'N',8607.299805,b'W',254.9,0
395,3511.760498,b'N',8607.299805,b'W',254.9,0
396,3511.760498,b'N',8607.299805,b'W',255.0,0
397,3511.760498,b'N',8607.299805,b'W',255.0,0
398,3511.760498,b'N',8607.299805,b'W',255.0,0
399,3511.760498,b'N',8607.299805,b'W',255.0,0
400,3511.760498,b'N',8607.298828,b'W',255.0,0
401,3511.760498,b'N',8607.298828,b'W',255.0,0
402,3511.760498,b'N',8607.298828,b'W',255.0,0
403,3511.760498,b'N',8607.298828,b'W',255.0,0
404,3511.760498,b'N',8607.298828,b'W',254.9,0
405,3511.760498,b'N',8607.298828,b'W',254.9,0
406,3511.760498,b'N',8607.298828,b'W',255.1,0
407,3511.760498,b'N',8607.298828,b'W',255.2,0
